colour	x	y	label	key	clickSelects	showSelected1	showSelected2	PANEL	group
#93DF10	10	518	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	January 2012	2	247
#93DF10	18	530	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	February 2012	2	248
#93DF10	18	1628	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	March 2012	2	249
#93DF10	15	2346	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	April 2012	2	250
#93DF10	20	4741	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	May 2012	2	251
#93DF10	24	4134	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	June 2012	2	252
#93DF10	8	4886	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	July 2012	2	253
#93DF10	3	3695	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	August 2012	2	254
#93DF10	3	4283	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	September 2012	2	255
#93DF10	26	1956	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	October 2012	2	256
#93DF10	4	697	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	November 2012	2	257
#F58AC1	10	741	Rachel	Rachel	Rachel	Rachel	January 2012	2	280
#F58AC1	23	513	Rachel	Rachel	Rachel	Rachel	February 2012	2	281
#F58AC1	21	3346	Rachel	Rachel	Rachel	Rachel	March 2012	2	282
#F58AC1	19	4429	Rachel	Rachel	Rachel	Rachel	April 2012	2	283
#F58AC1	14	6275	Rachel	Rachel	Rachel	Rachel	May 2012	2	284
#F58AC1	1	7095	Rachel	Rachel	Rachel	Rachel	June 2012	2	285
#F58AC1	10	6452	Rachel	Rachel	Rachel	Rachel	July 2012	2	286
#F58AC1	21	6140	Rachel	Rachel	Rachel	Rachel	August 2012	2	287
#F58AC1	7	6604	Rachel	Rachel	Rachel	Rachel	September 2012	2	288
#F58AC1	26	5078	Rachel	Rachel	Rachel	Rachel	October 2012	2	289
#F58AC1	1	2961	Rachel	Rachel	Rachel	Rachel	November 2012	2	290
#32D6BA	15	1081	Berri	Berri	Berri	Berri	January 2013	2	46
#32D6BA	14	940	Berri	Berri	Berri	Berri	February 2013	2	47
#32D6BA	28	1588	Berri	Berri	Berri	Berri	March 2013	2	48
#32D6BA	30	5171	Berri	Berri	Berri	Berri	April 2013	2	49
#32D6BA	28	7303	Berri	Berri	Berri	Berri	May 2013	2	50
#32D6BA	19	7108	Berri	Berri	Berri	Berri	June 2013	2	51
#32D6BA	3	7179	Berri	Berri	Berri	Berri	July 2013	2	52
#32D6BA	20	6627	Berri	Berri	Berri	Berri	August 2013	2	53
#32D6BA	5	6821	Berri	Berri	Berri	Berri	September 2013	2	54
#A799FF	16	578	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	January 2013	2	91
#A799FF	1	524	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	February 2013	2	92
#A799FF	28	1090	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	March 2013	2	93
#A799FF	30	2762	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	April 2013	2	94
#A799FF	7	3768	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	May 2013	2	95
#A799FF	19	3634	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	June 2013	2	96
#A799FF	9	3342	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	July 2013	2	97
