colour	x	y	group	clickSelects	showSelected1	PANEL
#F58AC1	1289759400	1464.3	8	Rachel	Rachel	2
#F58AC1	1292351400	177.689655172414	8	Rachel	Rachel	2
#F58AC1	1295029800	114.357142857143	8	Rachel	Rachel	2
#F58AC1	1297708200	93.25	8	Rachel	Rachel	2
#F58AC1	1300127400	340.2	8	Rachel	Rachel	2
#F58AC1	1302805800	1691.8	8	Rachel	Rachel	2
#F58AC1	1305397800	3219.58064516129	8	Rachel	Rachel	2
#F58AC1	1308076200	4534.63333333333	8	Rachel	Rachel	2
#F58AC1	1310668200	4703.51612903226	8	Rachel	Rachel	2
#F58AC1	1313346600	4568.03225806452	8	Rachel	Rachel	2
#F58AC1	1316025000	4318.26666666667	8	Rachel	Rachel	2
#F58AC1	1318617000	1095	8	Rachel	Rachel	2
#F58AC1	1326565800	71.25	8	Rachel	Rachel	2
#F58AC1	1329244200	4.29411764705882	8	Rachel	Rachel	2
#F58AC1	1331749800	979.148148148148	8	Rachel	Rachel	2
#F58AC1	1334428200	2391.96666666667	8	Rachel	Rachel	2
#F58AC1	1337020200	4180.32258064516	8	Rachel	Rachel	2
#F58AC1	1339698600	4884.33333333333	8	Rachel	Rachel	2
#F58AC1	1342290600	4861.38709677419	8	Rachel	Rachel	2
#F58AC1	1344969000	4431.51612903226	8	Rachel	Rachel	2
#F58AC1	1347647400	4125.23333333333	8	Rachel	Rachel	2
#F58AC1	1350239400	3030.93548387097	8	Rachel	Rachel	2
#F58AC1	1352917800	1891	8	Rachel	Rachel	2
#F58AC1	1358188200	255.366666666667	8	Rachel	Rachel	2
#F58AC1	1360866600	287.928571428571	8	Rachel	Rachel	2
#F58AC1	1363285800	627.612903225807	8	Rachel	Rachel	2
#F58AC1	1365964200	2436.06666666667	8	Rachel	Rachel	2
#F58AC1	1368556200	4750.77419354839	8	Rachel	Rachel	2
#F58AC1	1371234600	4859.16666666667	8	Rachel	Rachel	2
#F58AC1	1373826600	5426.38709677419	8	Rachel	Rachel	2
#F58AC1	1376505000	5129.1935483871	8	Rachel	Rachel	2
#F58AC1	1379183400	4250.11111111111	8	Rachel	Rachel	2
#A77B7B	1231957800	359.193548387097	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1234636200	697.535714285714	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1237055400	1599	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1239733800	1693.26666666667	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1242325800	1844.12903225806	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1245004200	1985.5	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1247596200	2228.09677419355	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1250274600	2176.03225806452	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1252953000	2296.53333333333	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1255545000	1871.70967741936	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1258223400	1664.16666666667	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1260815400	712.838709677419	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1263493800	480.225806451613	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1266172200	404.892857142857	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1268591400	935.923076923077	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1271269800	2353.94117647059	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1273861800	2492.1935483871	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1276540200	2348.86666666667	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1279132200	2301.54838709677	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1281810600	2265.48387096774	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1284489000	2187.5	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1287081000	1739.83870967742	9	Saint-Urbain	Saint-Urbain	2
#A77B7B	1289759400	1433.82352941176	9	Saint-Urbain	Saint-Urbain	2
#D21BD5	1360866600	198.25	10	Totem_Laurier	Totem_Laurier	2
#D21BD5	1363285800	497.645161290323	10	Totem_Laurier	Totem_Laurier	2
#D21BD5	1365964200	1537.23333333333	10	Totem_Laurier	Totem_Laurier	2
#D21BD5	1368556200	2746.41935483871	10	Totem_Laurier	Totem_Laurier	2
#D21BD5	1371234600	2828.6	10	Totem_Laurier	Totem_Laurier	2
#D21BD5	1373826600	3238.38709677419	10	Totem_Laurier	Totem_Laurier	2
#D21BD5	1376505000	3162.70967741936	10	Totem_Laurier	Totem_Laurier	2
#D21BD5	1379183400	2888.77777777778	10	Totem_Laurier	Totem_Laurier	2
