colour	x	y	tooltip	clickSelects	showSelected1	PANEL	fill
#0591F5	1300127400	210.645161290323	6530 cyclists counted at Maisonneuve 1 in 31 days of March 2011 (mean 210 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1302805800	1025.63333333333	30769 cyclists counted at Maisonneuve 1 in 30 days of April 2011 (mean 1025 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1305397800	2308.16129032258	71553 cyclists counted at Maisonneuve 1 in 31 days of May 2011 (mean 2308 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1308076200	3598.83333333333	107965 cyclists counted at Maisonneuve 1 in 30 days of June 2011 (mean 3598 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1310668200	3375.74193548387	104648 cyclists counted at Maisonneuve 1 in 31 days of July 2011 (mean 3375 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1313346600	3046.70967741935	94448 cyclists counted at Maisonneuve 1 in 31 days of August 2011 (mean 3046 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1316025000	3021.7	90651 cyclists counted at Maisonneuve 1 in 30 days of September 2011 (mean 3021 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1318617000	1894.96774193548	58744 cyclists counted at Maisonneuve 1 in 31 days of October 2011 (mean 1894 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1321295400	2148	6444 cyclists counted at Maisonneuve 1 in 3 days of November 2011 (mean 2148 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1326565800	106.709677419355	3308 cyclists counted at Maisonneuve 1 in 31 days of January 2012 (mean 106 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1329244200	157.689655172414	4573 cyclists counted at Maisonneuve 1 in 29 days of February 2012 (mean 157 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1331749800	586.903225806452	18194 cyclists counted at Maisonneuve 1 in 31 days of March 2012 (mean 586 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1334428200	1643.73333333333	49312 cyclists counted at Maisonneuve 1 in 30 days of April 2012 (mean 1643 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1337020200	3039.48387096774	94224 cyclists counted at Maisonneuve 1 in 31 days of May 2012 (mean 3039 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1339698600	3173.76666666667	95213 cyclists counted at Maisonneuve 1 in 30 days of June 2012 (mean 3173 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1342290600	3289.32258064516	101969 cyclists counted at Maisonneuve 1 in 31 days of July 2012 (mean 3289 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1344969000	3068.06451612903	95110 cyclists counted at Maisonneuve 1 in 31 days of August 2012 (mean 3068 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1347647400	2784.66666666667	83540 cyclists counted at Maisonneuve 1 in 30 days of September 2012 (mean 2784 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1350239400	2050.03225806452	63551 cyclists counted at Maisonneuve 1 in 31 days of October 2012 (mean 2050 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
